State.UT,percent,year,bpl_pop,log_bpl_pop
LAKSHADWEEP,4.390000000000001,2013,2853.5000000000005,11.082157933374816
LAKSHADWEEP,5.200000000000001,2014,3432.0000000000005,11.097425172408931
LAKSHADWEEP,6.010000000000002,2015,3966.6000000000013,11.097425172408931
LAKSHADWEEP,6.820000000000002,2016,4569.4000000000015,11.112462823634855
LAKSHADWEEP,7.630000000000003,2017,5112.100000000002,11.112462823634855
LAKSHADWEEP,8.440000000000003,2018,5654.800000000002,11.112462823634855
LAKSHADWEEP,9.250000000000004,2019,6290.000000000003,11.127277689932466
MADHYA PR,32.46,2012,23975929.8,18.117722597486647
MADHYA PR,33.27,2013,24985437.3,18.13431781438224
MADHYA PR,34.080000000000005,2014,26014627.200000003,18.150629019537043
MADHYA PR,34.89000000000001,2015,27064173.000000004,18.166691325358634
MADHYA PR,35.70000000000001,2016,28133742.00000001,18.18249970675081
MADHYA PR,36.51000000000001,2017,29189014.80000001,18.1968869938047
MADHYA PR,37.320000000000014,2018,30262788.00000001,18.21107021925272
MADHYA PR,38.13000000000002,2019,31355061.600000013,18.22505509083561
MAHARASHTRA,18.16,2012,20637932.0,18.548590121373728
MAHARASHTRA,18.97,2013,21799375.5,18.55970329130325
MAHARASHTRA,19.779999999999998,2014,22981590.799999997,18.57070292180273
MAHARASHTRA,20.589999999999996,2015,24184190.399999995,18.581574361846528
MAHARASHTRA,21.399999999999995,2016,25407577.999999996,18.592337306331974
MAHARASHTRA,22.209999999999994,2017,26622904.89999999,18.60191004612002
MAHARASHTRA,23.019999999999992,2018,27856732.19999999,18.611392016783654
MAHARASHTRA,23.82999999999999,2019,29109059.89999999,18.62078492352014
MANIPUR,37.7,2012,1088399.0000000002,14.875728805025338
MANIPUR,38.510000000000005,2013,1123721.8,14.88640935076529
MANIPUR,39.32000000000001,2014,1159546.8,14.896977026895355
MANIPUR,40.13000000000001,2015,1195874.0000000002,14.907434194052001
MANIPUR,40.94000000000001,2016,1233112.8000000003,14.918115199907179
MANIPUR,41.750000000000014,2017,1270035.0000000005,14.928026080532419
MANIPUR,42.56000000000002,2018,1307868.8000000005,14.938165166527472
MANIPUR,43.37000000000002,2019,1345771.1000000006,14.947880265699238
MEGHALAYA,12.68,2012,380273.2,14.913789791175573
MEGHALAYA,13.49,2013,409016.8,14.924733355559649
MEGHALAYA,14.3,2014,438152.0,14.935232136213322
MEGHALAYA,15.110000000000001,2015,467805.6000000001,14.945621836689119
MEGHALAYA,15.920000000000002,2016,498136.80000000005,14.956224342241892
MEGHALAYA,16.73,2017,528835.3,14.966399307553289
MEGHALAYA,17.54,2018,559876.8,14.976158550834995
MEGHALAYA,18.349999999999998,2019,591603.9999999999,14.986133692782305
MIZORAM,21.209999999999997,2012,235218.89999999997,13.918970168045353
MIZORAM,22.019999999999996,2013,246844.19999999995,13.92973259411456
MIZORAM,22.829999999999995,2014,258663.89999999994,13.940380422622287
MIZORAM,23.639999999999993,2015,270677.99999999994,13.95091606833254
MIZORAM,24.449999999999992,2016,282886.49999999994,13.961341870479675
MIZORAM,25.25999999999999,2017,295289.3999999999,13.971660095885833
MIZORAM,26.06999999999999,2018,307886.6999999999,13.981872941919192
MIZORAM,26.87999999999999,2019,320409.59999999986,13.991143965533254
NAGALAND,19.689999999999998,2012,393799.99999999994,14.508658238524095
NAGALAND,20.499999999999996,2013,414509.99999999994,14.519598173122274
NAGALAND,21.309999999999995,2014,435363.29999999993,14.5299303632759
NAGALAND,22.119999999999994,2015,456777.9999999998,14.540641268638653
NAGALAND,22.929999999999993,2016,478319.7999999999,14.550759393929125
NAGALAND,23.73999999999999,2017,500439.19999999984,14.561250663026579
NAGALAND,24.54999999999999,2018,522669.49999999977,14.571163413579592
NAGALAND,25.35999999999999,2019,545239.9999999998,14.580978865220017
ORISSA,33.400000000000006,2012,14096470.000000002,17.558049279093833
ORISSA,34.21000000000001,2013,14517355.600000001,17.563507640126197
ORISSA,35.02000000000001,2014,14941983.400000004,17.568936369122582
ORISSA,35.83000000000001,2015,15369995.100000005,17.574312474694747
ORISSA,36.640000000000015,2016,15802099.200000007,17.579683019300433
ORISSA,37.45000000000002,2017,16219220.500000007,17.583871046658327
ORISSA,38.26000000000002,2018,16639274.00000001,17.58804160756761
ORISSA,39.07000000000002,2019,17062259.70000001,17.592194847113397
PONDICHERRY,10.5,2012,134295.0,14.061589862421503
PONDICHERRY,11.31,2013,148161.0,14.085538458535822
PONDICHERRY,12.120000000000001,2014,162408.00000000003,14.108180918195472
PONDICHERRY,12.930000000000001,2015,177270.30000000005,14.131051687938788
PONDICHERRY,13.740000000000002,2016,192634.80000000005,14.15341105984318
PONDICHERRY,14.550000000000002,2017,208938.00000000003,14.177372724968894
PONDICHERRY,15.360000000000003,2018,225792.00000000003,14.200773639026796
PONDICHERRY,16.17,2019,243196.80000000005,14.223639448385319
PUNJAB,9.07,2012,2541686.1,17.148536195208067
PUNJAB,9.88,2013,2796237.6,17.158443066827644
PUNJAB,10.690000000000001,2014,3055308.9000000004,17.168252754345303
PUNJAB,11.500000000000002,2015,3319015.0000000005,17.178001795393183
PUNJAB,12.310000000000002,2016,3587134.0000000005,17.18762239304842
PUNJAB,13.120000000000003,2017,3854656.0000000005,17.195824762746764
PUNJAB,13.930000000000003,2018,4125926.700000001,17.20392663902381
PUNJAB,14.740000000000004,2019,4401216.6000000015,17.21199689338705
RAJASTHAN,15.520000000000001,2012,10815422.4,18.059524359054958
RAJASTHAN,16.330000000000002,2013,11565722.500000002,18.075722617800164
RAJASTHAN,17.14,2014,12334458.2,18.09166266990132
RAJASTHAN,17.95,2015,13121809.0,18.107366297806372
RAJASTHAN,18.759999999999998,2016,13927423.999999998,18.122813659912048
RAJASTHAN,19.569999999999997,2017,14726033.599999998,18.136299896456357
RAJASTHAN,20.379999999999995,2018,15540972.799999997,18.149606671994327
RAJASTHAN,21.189999999999994,2019,16372241.599999996,18.162738700038098
SIKKIM,9.0,2012,55530.0,13.332625923631754
SIKKIM,9.81,2013,61214.4,13.343907249914384
SIKKIM,10.620000000000001,2014,67012.20000000001,13.355062726308148
SIKKIM,11.430000000000001,2015,72809.1,13.364526504411781
SIKKIM,12.240000000000002,2016,78825.6,13.375455557880317
SIKKIM,13.050000000000002,2017,84825.00000000001,13.384729180332174
SIKKIM,13.860000000000003,2018,91060.20000000001,13.395440819535605
SIKKIM,14.670000000000003,2019,97408.80000000002,13.406038934481533
TAMILNADU,12.09,2012,8782780.5,18.10109513625315
TAMILNADU,12.9,2013,9435318.0,18.10791332880184
TAMILNADU,13.71,2014,10096044.000000002,18.114698927908726
TAMILNADU,14.520000000000001,2015,10764692.4,18.121425304369662
TAMILNADU,15.330000000000002,2016,11441545.500000002,18.12812013744802
TAMILNADU,16.14,2017,12103224.6,18.1328520074126
TAMILNADU,16.95,2018,12770469.0,18.137548319471964
TAMILNADU,17.759999999999998,2019,13443431.999999998,18.14222267923903
TRIPURA,14.860000000000001,2012,551900.4,15.127620290146233
TRIPURA,15.670000000000002,2013,588251.8,15.13833276251108
TRIPURA,16.48,2014,625251.2,15.148931693051127
TRIPURA,17.29,2015,662898.6,15.159419463411897
TRIPURA,18.099999999999998,2016,701193.9999999999,15.169798381080176
TRIPURA,18.909999999999997,2017,740137.3999999999,15.180070682431227
TRIPURA,19.719999999999995,2018,779531.5999999999,15.189985595251217
TRIPURA,20.529999999999994,2019,819557.5999999997,15.199803166914462
UTTAR PR,30.24,2012,61407460.8,19.129046536737352
UTTAR PR,31.049999999999997,2013,64062980.99999999,19.144948618016894
UTTAR PR,31.859999999999996,2014,66771232.19999999,19.160601776337163
UTTAR PR,32.669999999999995,2015,69532214.39999999,19.176013684764825
UTTAR PR,33.48,2016,72345927.6,19.191191666960787
UTTAR PR,34.29,2017,75112587.9,19.20481514194668
UTTAR PR,35.1,2018,77927265.0,19.218255509625735
UTTAR PR,35.910000000000004,2019,80789958.9,19.231517626924393
UTTRANCHAL,12.07,2012,1233554.0,16.139857240587187
UTTRANCHAL,12.88,2013,1333595.2000000002,16.15288357302501
UTTRANCHAL,13.690000000000001,2014,1435670.3,16.165647048172694
UTTRANCHAL,14.500000000000002,2015,1540045.0000000002,16.178343825456764
UTTRANCHAL,15.310000000000002,2016,1646590.5000000002,16.190881413663973
UTTRANCHAL,16.12,2017,1754500.8,16.202804470763255
UTTRANCHAL,16.93,2018,1864500.9,16.214587041948857
UTTRANCHAL,17.74,2019,1976413.3999999997,16.2261426448
WEST BENGAL,20.79,2012,19134492.3,18.337701238941303
WEST BENGAL,21.599999999999998,2013,20044151.999999996,18.345924880423883
WEST BENGAL,22.409999999999997,2014,20966347.799999997,18.354092133483633
WEST BENGAL,23.219999999999995,2015,21900639.599999994,18.362182620160485
WEST BENGAL,24.029999999999994,2016,22847483.699999996,18.370218693459545
WEST BENGAL,24.839999999999993,2017,23768899.199999996,18.37660346716207
WEST BENGAL,25.64999999999999,2018,24700180.49999999,18.382947734019666
WEST BENGAL,26.45999999999999,2019,25641327.59999999,18.389252004767982
